name,party,district,page_id
Janice Abela Chetcuti,PN,,
Andrew Agius,PN,,
Graziella Attard Previ,PN,,
Joseph Aquilina,PN,,
Frederick Aquilina,PN,,
Charles Azzopardi,PN,,
John Baptist Camilleri,PN,,
Graham Bencini,PN,,
Toni Bezzina,PN,,
Bernice Bonello,PN,,
David Bonello,PN,,
Eve Borg Bonello,PN,,
Alex Borg,PN,,
Dione Borg,PN,,
Julian Borg,PN,,
Rebekah Borg,PN,,
Duncan Borg Myatt,PN,,
Albert Buttigieg,PN,,
Miriana Calleja Testaferratade Noto,PN,,
Norma Camilleri,PN,,
Darren Carabott,PN,,
Stefan Caruana,PN,,
Jerome Caruana Cilia,PN,,
Ivan Castillo,PN,,
Ludwig Cauchi,PN,,
Annabelle Cilia,PN,,
Oliver Cini,PN,,
Antonella Cuschieri,PN,,
Errol Cutajar,PN,,
Mario de Marco,PN,,
Adrian Delia,PN,,
James Aaron Ellul,PN,,
Beppe Fenech Adami,PN,,
Beppe Galea,PN,,
Graziella Galea,PN,,
Ray Gatt,PN,,
Joseph Giglio,PN,,
Bernard Grech,PN,,
Joseph Grech,PN,,
Marilena Gauci,PN,,
Angelo Micallef,PN,,
Paula Mifsud Bonnici,PN,,
Anton Mifsud,PN,,
Jonathan Muscat,PN,,
Noel Muscat,PN,,
George Muscat,PN,,
Alex Perici Calascione,PN,,
George Vital Zammit,PN,,
Rachel Williams,PN,,
David Pace Ross,PN,,
Michael Piccinino,PN,,
Luke Said,PN,,
Mark Anthony Sammut,PN,,
Justin Schembri,PN,,
Leone Sciberras,PN,,
Owen Sciberras,PN,,
Charles Selvaggi,PN,,
Stephen Spiteri,PN,,
Frank Anthony Tabone,PN,,
Ian Mario Vassallo,PN,,
Julie Zahra,PN,,
Stanley Zammit,PN,,
Edmond Cuschieri,PN,,
Paul Mazzola,PN,,
Robert Abela,PL,,
Jo Etienne Abela,PL,,
Fleur Abela,PL,,
Ray Abela,PL,,
Malcolm Paul Agius Galea,PL,,
Ramona Attard,PL,,
Clint Azzopardi Flores,PL,,
Miguel Balzan,PL,,
Tania Borg,PL,,
Yana Borg Debono Grech,PL,,
Jesmond Bonello,PL,,
Georvin Bugeja,PL,,
Joseph Bugeja,PL,,
Alicia Bugeja Said,PL,,
Rebecca Buttigieg,PL,,
Naomi Cachia,PL,,
Byron Camilleri,PL,,
George Camilleri,PL,,
Abigail Camilleri,PL,,
Clint Camilleri,PL,,
Clyde Caruana,PL,,
Rosette Cassar,PL,,
Edward Cassar Delia,PL,,
Rosianne Cutajar,PL,,
Julia Farrugia,PL,,
Omar Farrugia,PL,,
Miriam Dalli,PL,,
Deo Debattista,PL,,
Katya De Giovanni,PL,,
Chris Fearne,PL,,
Cressida Galea,PL,,
Samantha Pace Gasan,PL,,
John Grech,PL,,
Remenda Grech,PL,,
Jorge Grech,PL,,
Clifton Grima,PL,,
Franco Mercieca,PL,,
Olaf McKay,PL,,
Alex Muscat,PL,,
Eric Plumpton,PL,,
Omar Rababah,PL,,
Anton Refalo,PL,,
Davina Sammut Hili,PL,,
Kaydem Schembri,PL,,
Deborah Schembri,PL,,
Amanda Spiteri Grech,PL,,
Nigel Vella,PL,,
Shana Woods,PL,,
Francesca Zarb,PL,,
Romilda Zarb,PL,,
Carlos Zarb,PL,,
Roderick Zerafa,PL,,
Alison Zerafa Civelli,PL,,
Matthew Agius,Momentum,,
Carmel Asciak,Momentum,,
Arnold Cassola,Momentum,,
Billy J. McBee,Momentum,,
Mark Philip Camilleri Gambin,Momentum,,
Alastair Farrugia,Momentum,,
Pierre Schembri Wismayer,Momentum,,
Eman Cross,Imperium Ewropa,,
Nazzareno Bonnici,Independent,,
Conrad Borg Manche,PN,,
Carmelo Abela,PL,,
Anthony Agius Decelis,PL,,
Vania Agius Tabone,PL,,
Jonathan Attard,PL,,
Keith Azzopardi Tanti,PL,,
Glenn Bedingfield,PL,,
Chris Bonett,PL,,
Ian Borg,PL,,
Lorna Borg Vassallo,PL,,
Owen Bonnici,PL,,
Martina Paula Buhagiar,PL,,
David Caruana,PL,,
Lisa Cassar Shaw,PL,,
Andrew Ellul,PL,,
Michael Falzon,PL,,
James Grech,PL,,
Mariah Meli,PL,,
Silvio Schembri,PL,,
Damien Spiteri,PL,,
Keith Tanti Azzopardi,PL,,
Melissa Joan Bagley,ADPD,,
Carmel Cacopardo,ADPD,,
Luke Joe Caruana,ADPD,,
Brian Decelis,ADPD,,
Sandra Gauci,ADPD,,
Marcus Lauri,ADPD,,
Mario Mallia,ADPD,,
Mark-Anthony Zerafa,ADPD,,
