type,value,reason
page_id,100113382297377,excluded
page_id,100174771640018,excluded
page_id,100183052259966,excluded
page_id,100462725071708,excluded
page_id,100698105403389,excluded
page_id,1009480135591687,excluded
page_id,101076232874802,excluded
page_id,101182412102547,excluded
page_id,101255156027255,excluded
page_id,101318508812414,excluded
page_id,1014313478430642,excluded
page_id,101436065814243,excluded
page_id,101678346029297,excluded
page_id,101768354610245,excluded
page_id,101901127944882,excluded
page_id,102048731416447,excluded
page_id,102226345940335,excluded
page_id,102667638269943,excluded
page_id,102924692119962,excluded
page_id,102962464635605,excluded
page_id,103030408578001,excluded
page_id,1030548216968977,excluded
page_id,103112448104409,excluded
page_id,103127068302786,excluded
page_id,103282704675794,excluded
page_id,103313791979355,excluded
page_id,103316011198397,excluded
page_id,103553984976781,excluded
page_id,103661124552636,excluded
page_id,103773595257457,excluded
page_id,103863198717044,excluded
page_id,103878277828894,excluded
page_id,104203284719953,excluded
page_id,104221811244016,excluded
page_id,104256995893637,excluded
page_id,1045664525295511,excluded
page_id,104644782136868,excluded
page_id,104952425347516,excluded
page_id,105163065359945,excluded
page_id,105275801446705,excluded
page_id,105402321169347,excluded
page_id,105505442199884,excluded
page_id,105732260813895,excluded
page_id,1058777277313727,excluded
page_id,105981989049575,excluded
page_id,106274004785657,excluded
page_id,106364608750100,excluded
page_id,106517027874480,excluded
page_id,106517852328126,excluded
page_id,106544355859456,excluded
page_id,106639921035729,excluded
page_id,106981235233099,excluded
page_id,107199978451074,excluded
page_id,107229495155487,excluded
page_id,107277278298213,excluded
page_id,107669291528716,excluded
page_id,108222877390389,excluded
page_id,108261588855498,excluded
page_id,108280978639447,excluded
page_id,108334150913966,excluded
page_id,108358418936660,excluded
page_id,1086817714510734,excluded
page_id,108862697302956,excluded
page_id,108930367490999,excluded
page_id,108956370815632,excluded
page_id,109148290462009,excluded
page_id,109503432242020,excluded
page_id,109714165296367,excluded
page_id,109936364693816,excluded
page_id,110197875459751,excluded
page_id,110496734920294,excluded
page_id,110723141842171,excluded
page_id,111042831383987,excluded
page_id,111143978603094,excluded
page_id,111232564994207,excluded
page_id,111424020378923,excluded
page_id,1115882148265907,excluded
page_id,111609967364337,excluded
page_id,111658824514531,excluded
page_id,1122288241133120,excluded
page_id,112594288471529,excluded
page_id,113194043394062,excluded
page_id,113762240368348,excluded
page_id,114233951565508,excluded
page_id,115036534800491,excluded
page_id,117342273953640,excluded
page_id,117919966272939,excluded
page_id,119163984614510,excluded
page_id,119259511464723,excluded
page_id,120473897817604,excluded
page_id,122093421944019584,excluded
page_id,122094305732011657,excluded
page_id,123673594152742,excluded
page_id,126341724135245,excluded
page_id,126978790504940,excluded
page_id,127586543929133,excluded
page_id,127769223746728,excluded
page_id,1302514716558850,excluded
page_id,131554196702362,excluded
page_id,134072840051806,excluded
page_id,134072880051806,excluded
page_id,145098275351277,excluded
page_id,145603398957246,excluded
page_id,1489556681297997,excluded
